ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
491,ASUS,ExpertBook,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,40990,51990,21,0,0,0
492,Lenovo,Legion,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,6,Casual,16,0,No,No,151098,224490,32,4.4,7,0
493,ASUS,VivoBook,Intel,Core i7,11th,8,DDR4,512,0,Windows,64,2,Casual,15.6,1,No,Yes,78990,104990,24,4.5,35,4
495,DELL,XPS,Intel,Core i7,8th,16,DDR3,512,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,121890,139104,12,1.7,3,0
496,realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,47999,54999,12,4.4,6352,1014
497,ASUS,ExpertBook,Intel,Core i3,11th,4,DDR4,256,0,Missing,64,0,Casual,15.6,0,No,No,35990,42990,16,0,0,0
498,ASUS,TUF,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,No,64990,81990,20,4.5,4,0
499,ASUS,ZenBook,Intel,Core i7,8th,8,LPDDR3,512,0,Windows,64,0,ThinNlight,14,1,No,No,85990,99990,14,4.4,18,0
500,DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,43990,56743,22,0,0,0
501,MSI,Modern,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,54990,61990,11,4.4,714,147
503,DELL,Core,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,14,0,Yes,No,71999,72246,0,4.3,97,13
507,MSI,Katana,Intel,Core i7,11th,16,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,94990,117990,19,0,0,0
509,Vaio,SE,Intel,Core i5,8th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,2,No,Yes,62890,84690,25,4,85,14
514,LG,Gram,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,76990,106000,27,0,0,0
516,HP,Spectre,Intel,Core i5,11th,16,LPDDR4X,512,0,Windows,64,0,Casual,13.5,0,Yes,No,111999,146194,23,0,0,0
